"Qty:","Quantidade:"
"Special Price:","PreÁço especial:"
"My Wishlist","Lista de desejos"
"My Wishlist (%d item)","Lista de desejos (%d)"
"My Wishlist (%d items)","Lista de desejos (%d)"
"My Account","Minha conta"
"Cart","Carrinho"
"View contents of your shopping cart","Visualizar itens do carrinho"
"View shopping cart","Visualizar carrinho"
"Your cart is empty","Carrinho vazio"
"Compare Products","Comparar"
"Currency","Moeda"
"Language","Lingua"
"Sign Up","Cadastre-se"
"Enter your e-mail","Insira seu email"
"Click to see more products from %s","Clique aqui para ver mais produtos %s"
"Related Products","Produtos relacionados"
"Zoom","Zoom"
"image {current} of {total}","{current} / {total}"
"New","Novo"
"Sale","PromoçÁ„o"
"Categories","Categorias"
"Menu","Menu"
